timestamp,fps,total_latency_ms,classification_ms,segmentation_ms,memory_mb,cpu_percent,flood_ratio
1779507889.2367349,1.96,480.27,130.73,207.0,620.08,42.5,0.3116
1779507889.7441823,1.96,477.25,133.67,201.91,620.25,43.4,0.3116
1779507890.328543,1.83,553.42,172.1,227.46,620.36,51.7,0.3116
1779507890.8343408,1.83,473.04,131.87,199.87,620.39,54.1,0.3116
1779507891.3293092,2.0,464.67,136.05,187.28,620.28,45.4,0.3116
1779507891.8342288,2.0,476.1,131.15,204.34,619.9,41.2,0.3116
1779507892.3693376,1.92,504.44,138.85,224.26,619.65,50.4,0.3116
1779507892.902639,1.92,501.62,141.69,218.68,619.86,50.7,0.3116
1779507893.3917913,1.96,456.42,127.11,188.67,620.94,50.3,0.3116
1779507893.9257488,1.96,502.3,137.61,218.12,620.55,59.0,0.3116
1779507894.451285,1.89,495.97,143.49,210.91,620.99,45.9,0.3116
1779507894.9878926,1.89,506.28,139.91,225.41,621.04,52.9,0.3116
1779507895.523861,1.86,505.53,154.42,204.45,620.69,48.8,0.3116
1779507896.0411675,1.86,487.85,138.27,208.82,620.78,51.4,0.3116
1779507896.5936978,1.87,523.46,131.27,251.52,620.71,59.5,0.3116
1779507897.13857,1.87,514.25,157.66,215.55,620.64,67.7,0.3116
1779507897.640769,1.91,467.38,122.59,203.81,620.39,50.0,0.3116
1779507898.1857774,1.91,510.86,151.76,217.13,620.55,53.3,0.3116
1779507898.7215514,1.85,505.69,161.16,196.67,620.27,53.7,0.3116
1779507899.222281,1.85,471.66,121.71,209.49,620.68,44.1,0.3116
1779507899.7327948,1.98,480.45,139.35,198.71,620.54,41.5,0.3116
1779507900.2365954,1.98,473.96,130.95,201.54,620.55,47.3,0.3116
1779507900.7442017,1.98,477.93,131.34,205.37,620.21,41.8,0.3116
1779507901.2846196,1.98,509.91,142.09,226.59,620.75,53.0,0.3116
1779507901.7943525,1.9,477.7,129.67,207.17,620.46,42.2,0.3116
1779507902.3117254,1.9,488.81,139.97,205.66,620.47,42.9,0.3116
1779507902.8208613,1.95,479.55,131.27,203.35,620.44,41.2,0.3116
1779508179.4039168,1.96,475.78,134.12,201.48,627.27,43.3,0.3116
1779508179.917691,1.96,485.28,133.56,210.82,627.74,45.5,0.3116
1779508180.4357817,1.94,488.56,144.16,203.58,627.55,53.6,0.3116
1779508180.9409137,1.94,474.55,132.21,200.34,627.62,40.7,0.3116
1779508181.4401956,1.99,470.03,128.75,197.99,627.53,40.1,0.3116
